6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","5250","5280","5214","5279","8738400","5279"
"2018-01-05","5323","5478","5322","5464","13486500","5464"
"2018-01-09","5525","5648","5492","5612","13500100","5612"
"2018-01-10","5560","5633","5528","5591","7283800","5591"
"2018-01-11","5521","5613","5521","5584","5995400","5584"
"2018-01-12","5584","5598","5496","5525","7400700","5525"
"2018-01-15","5533","5565","5452","5463","5922600","5463"
"2018-01-16","5468","5505","5455","5474","4484800","5474"
"2018-01-17","5415","5465","5380","5459","6628400","5459"
"2018-01-18","5539","5552","5425","5449","8370500","5449"
"2018-01-19","5479","5535","5452","5512","5871200","5512"
"2018-01-22","5525","5577","5491","5572","6646600","5572"
"2018-01-23","5645","5738","5613","5732","12477600","5732"
"2018-01-24","5600","5600","5436","5442","19510700","5442"
"2018-01-25","5285","5384","5202","5249","18803900","5249"
"2018-01-26","5350","5397","5281","5285","10678200","5285"
"2018-01-29","5349","5354","5258","5285","7160900","5285"
"2018-01-30","5211","5258","5177","5183","10082800","5183"
"2018-01-31","5151","5268","5148","5209","7703700","5209"
"2018-02-01","5269","5386","5218","5385","9016200","5385"
"2018-02-02","5395","5505","5370","5485","14337200","5485"
"2018-02-05","5600","5671","5503","5568","25977400","5568"
"2018-02-06","5300","5387","5225","5336","23396900","5336"
"2018-02-07","5607","5665","5412","5417","18136600","5417"
"2018-02-08","5450","5504","5250","5320","13215900","5320"
"2018-02-09","5094","5174","5061","5174","13055200","5174"
"2018-02-13","5200","5236","5085","5099","10855500","5099"
"2018-02-14","5094","5158","5007","5078","9916000","5078"
"2018-02-15","5195","5205","5137","5173","7283700","5173"
"2018-02-16","5210","5340","5199","5264","8102200","5264"
"2018-02-19","5257","5313","5235","5305","5701600","5305"
"2018-02-20","5306","5336","5233","5296","5997700","5296"
"2018-02-21","5330","5379","5298","5378","8065300","5378"
"2018-02-22","5360","5429","5288","5349","8091100","5349"
"2018-02-23","5330","5360","5290","5354","5643500","5354"
"2018-02-26","5376","5428","5356","5382","6923400","5382"
"2018-02-27","5450","5468","5410","5439","7244500","5439"
"2018-02-28","5451","5494","5408","5442","11158300","5442"
"2018-03-01","5388","5418","5250","5302","8135800","5302"
"2018-03-02","5173","5275","5170","5237","7649400","5237"
"2018-03-05","5147","5239","5138","5228","6669900","5228"
"2018-03-06","5340","5384","5272","5282","7018400","5282"
"2018-03-07","5251","5400","5243","5316","8892700","5316"
"2018-03-08","5377","5435","5356","5377","6953400","5377"
"2018-03-09","5470","5500","5355","5393","10781700","5393"
"2018-03-12","5430","5465","5273","5299","9164900","5299"
"2018-03-13","5321","5364","5307","5356","7574000","5356"
"2018-03-14","5356","5418","5329","5400","7038900","5400"
"2018-03-15","5391","5462","5387","5446","6800900","5446"
"2018-03-16","5446","5450","5345","5371","7347000","5371"
"2018-03-19","5337","5337","5121","5144","11658900","5144"
"2018-03-20","5097","5144","5019","5138","8469200","5138"
"2018-03-22","5200","5275","5171","5239","9150000","5239"
"2018-03-23","5035","5138","5035","5096","10156100","5096"
"2018-03-26","5022","5079","4959","5079","7985600","5079"
"2018-03-27","5156","5233","5152","5232","7528700","5232"
"2018-03-28","5106","5176","5080","5174","7906400","5174"
"2018-03-29","5145","5150","5051","5110","6988400","5110"
"2018-03-30","5129","5164","5104","5146","5425900","5146"
"2018-04-02","5152","5238","5151","5173","4353700","5173"
"2018-04-03","5100","5174","5089","5150","5208000","5150"
"2018-04-04","5216","5246","5135","5137","7187400","5137"
"2018-04-05","5229","5248","5166","5213","5751800","5213"
"2018-04-06","5220","5261","5204","5205","5004600","5205"
"2018-04-09","5203","5243","5183","5220","4107400","5220"
"2018-04-10","5211","5369","5209","5328","7172500","5328"
"2018-04-11","5330","5357","5261","5272","4792800","5272"
"2018-04-12","5281","5282","5191","5200","4163000","5200"
"2018-04-13","5239","5274","5229","5245","4484800","5245"
"2018-04-16","5279","5324","5270","5288","3224300","5288"
"2018-04-17","5288","5359","5288","5312","4169600","5312"
"2018-04-18","5335","5403","5331","5395","6135800","5395"
"2018-04-19","5420","5425","5365","5371","5107200","5371"
"2018-04-20","5347","5385","5333","5385","5184800","5385"
"2018-04-23","5383","5387","5339","5350","3788000","5350"
"2018-04-24","5397","5438","5354","5438","6258500","5438"
"2018-04-25","5407","5430","5360","5410","6663800","5410"
"2018-04-26","5450","5468","5405","5443","5267700","5443"
"2018-04-27","5453","5455","5368","5400","7207300","5400"
"2018-05-01","5130","5148","5038","5073","16563600","5073"
"2018-05-02","5128","5130","5064","5083","9066700","5083"
"2018-05-07","5192","5225","5164","5198","7586800","5198"
"2018-05-08","5101","5202","5094","5182","5287200","5182"
"2018-05-09","5131","5176","5125","5138","5223100","5138"
"2018-05-10","5181","5188","5101","5109","4111800","5109"
"2018-05-11","5126","5180","5096","5177","5564300","5177"
"2018-05-14","5250","5295","5237","5289","5443200","5289"
"2018-05-15","5252","5283","5246","5271","3261500","5271"
"2018-05-16","5271","5305","5270","5277","3612300","5277"
"2018-05-17","5320","5400","5310","5390","6595600","5390"
"2018-05-18","5404","5460","5384","5416","5782700","5416"
"2018-05-21","5418","5457","5381","5388","5252100","5388"
"2018-05-22","5391","5395","5188","5282","9360500","5282"
"2018-05-23","5200","5212","5141","5150","12011000","5150"
"2018-05-24","5100","5109","5065","5100","5915200","5100"
"2018-05-25","5090","5096","5042","5081","5637400","5081"
"2018-05-28","5142","5198","5134","5183","4947300","5183"
"2018-05-29","5184","5203","5140","5160","3946300","5160"
"2018-05-30","5060","5120","5031","5119","5673500","5119"
"2018-05-31","5130","5161","5066","5160","7107300","5160"
"2018-06-01","5160","5196","5146","5162","4036000","5162"
"2018-06-04","5243","5319","5232","5319","7049900","5319"
"2018-06-05","5394","5408","5353","5389","7295300","5389"
"2018-06-06","5420","5545","5419","5539","14759200","5539"
"2018-06-07","5527","5537","5460","5521","7754900","5521"
"2018-06-08","5500","5527","5448","5450","7544400","5450"
"2018-06-11","5468","5534","5462","5509","5360700","5509"
"2018-06-12","5572","5610","5441","5478","6566600","5478"
"2018-06-13","5496","5507","5449","5501","4299400","5501"
"2018-06-14","5465","5490","5387","5387","4068300","5387"
"2018-06-15","5450","5480","5412","5445","5353300","5445"
"2018-06-18","5390","5398","5338","5359","3806200","5359"
"2018-06-19","5315","5406","5302","5306","4674000","5306"
"2018-06-20","5336","5412","5262","5404","5207000","5404"
"2018-06-21","5550","5568","5487","5487","8580800","5487"
"2018-06-22","5410","5510","5398","5496","5213100","5496"
"2018-06-25","5548","5550","5484","5491","4029200","5491"
"2018-06-26","5416","5496","5373","5487","5773600","5487"
"2018-06-27","5540","5600","5532","5595","9055400","5595"
"2018-06-28","5580","5743","5571","5726","11568800","5726"
"2018-06-29","5689","5707","5636","5664","6513000","5664"
"2018-07-02","5695","5750","5585","5595","6977900","5595"
"2018-07-03","5663","5685","5449","5624","6686200","5624"
"2018-07-04","5620","5650","5502","5532","4985500","5532"
"2018-07-05","5520","5527","5320","5344","8205400","5344"
"2018-07-06","5430","5469","5368","5450","6339900","5450"
"2018-07-09","5490","5694","5473","5692","7017800","5692"
"2018-07-10","5700","5765","5698","5705","7349100","5705"
"2018-07-11","5700","5768","5629","5742","7463900","5742"
"2018-07-12","5800","5892","5782","5794","6963800","5794"
"2018-07-13","5880","5989","5859","5978","9859700","5978"
"2018-07-17","6000","6048","5952","6006","7606300","6006"
"2018-07-18","6083","6100","5960","5975","5096900","5975"
"2018-07-19","5956","6018","5914","5939","4681300","5939"
"2018-07-20","5939","5973","5885","5933","5146800","5933"
"2018-07-23","5860","5947","5859","5888","4262700","5888"
"2018-07-24","5915","5962","5825","5837","5320000","5837"
"2018-07-25","5876","5953","5862","5915","3628600","5915"
"2018-07-26","5962","5967","5920","5945","2982600","5945"
"2018-07-27","5965","5968","5902","5966","2978800","5966"
"2018-07-30","5922","5932","5852","5865","3765300","5865"
"2018-07-31","5811","5875","5769","5828","5839200","5828"
"2018-08-01","6049","6184","6045","6105","13488400","6105"
"2018-08-02","6150","6239","6105","6117","7995400","6117"
"2018-08-03","6215","6235","6095","6111","5228700","6111"
"2018-08-06","6092","6138","6063","6074","3326300","6074"
"2018-08-07","6122","6179","6106","6163","4343200","6163"
"2018-08-08","6111","6137","6085","6095","4446600","6095"
"2018-08-09","6100","6162","6073","6153","3414900","6153"
"2018-08-10","6183","6200","6041","6051","4877900","6051"
"2018-08-13","6022","6059","5875","5917","6649100","5917"
"2018-08-14","5966","6028","5940","6024","5003700","6024"
"2018-08-15","6006","6040","5962","6000","3231500","6000"
"2018-08-16","5900","5959","5810","5947","6836500","5947"
"2018-08-17","6040","6065","6000","6040","4412500","6040"
"2018-08-20","5955","6022","5944","6000","4270200","6000"
"2018-08-21","6028","6033","5962","5972","3782100","5972"
"2018-08-22","6016","6019","5974","5991","2799300","5991"
"2018-08-23","6001","6018","5973","5984","3549700","5984"
"2018-08-24","6015","6055","5996","6055","4082300","6055"
"2018-08-27","6100","6195","6085","6170","4760100","6170"
"2018-08-28","6242","6281","6159","6173","4947400","6173"
"2018-08-29","6222","6312","6198","6292","6275400","6292"
"2018-08-30","6392","6422","6340","6344","7816000","6344"
"2018-08-31","6301","6390","6288","6348","5057900","6348"
"2018-09-03","6363","6366","6244","6276","4081800","6276"
"2018-09-04","6293","6296","6244","6278","3126000","6278"
"2018-09-05","6285","6298","6221","6234","3876300","6234"
"2018-09-06","6190","6323","6173","6288","4743800","6288"
"2018-09-07","6241","6249","6141","6230","5928300","6230"
"2018-09-10","6350","6377","6240","6245","5840000","6245"
"2018-09-11","6316","6351","6282","6335","5444200","6335"
"2018-09-12","6400","6422","6331","6352","6722700","6352"
"2018-09-13","6360","6420","6347","6394","4823300","6394"
"2018-09-14","6476","6641","6462","6630","9555000","6630"
"2018-09-18","6622","6692","6563","6652","6892000","6652"
"2018-09-19","6729","6773","6653","6682","7605200","6682"
"2018-09-20","6600","6639","6557","6574","6479600","6574"
"2018-09-21","6595","6605","6426","6444","11477000","6444"
"2018-09-25","6476","6658","6455","6658","8995600","6658"
"2018-09-26","6710","6780","6675","6768","8840400","6768"
"2018-09-27","6750","6818","6665","6665","6717200","6665"
"2018-09-28","6815","6973","6791","6966","10999200","6966"
"2018-10-01","6890","6925","6845","6879","6605200","6879"
"2018-10-02","6930","6941","6790","6836","6740300","6836"
"2018-10-03","6710","6742","6616","6621","9011400","6621"
"2018-10-04","6744","6814","6610","6613","9059900","6613"
"2018-10-05","6547","6640","6515","6596","7257100","6596"
"2018-10-09","6460","6633","6451","6577","6359800","6577"
"2018-10-10","6593","6608","6502","6569","4405300","6569"
"2018-10-11","6202","6350","6151","6288","14323300","6288"
"2018-10-12","6188","6290","6158","6258","12156200","6258"
"2018-10-15","6251","6322","6208","6218","6260100","6218"
"2018-10-16","6286","6356","6206","6356","6636600","6356"
"2018-10-17","6471","6562","6432","6498","7760700","6498"
"2018-10-18","6506","6520","6407","6418","4519800","6418"
"2018-10-19","6280","6410","6197","6341","6895400","6341"
"2018-10-22","6242","6350","6193","6309","4866300","6309"
"2018-10-23","6242","6323","6175","6184","6745200","6184"
"2018-10-24","6224","6265","6078","6208","7140300","6208"
"2018-10-25","5900","5953","5851","5869","11041900","5869"
"2018-10-26","6045","6050","5767","5834","10609300","5834"
"2018-10-29","5934","5973","5770","5802","7362300","5802"
"2018-10-30","5735","5879","5662","5862","8750500","5862"
"2018-10-31","6230","6275","6042","6140","12405300","6140"
"2018-11-01","6250","6354","6195","6287","10001600","6287"
"2018-11-02","6248","6277","6046","6190","10368600","6190"
"2018-11-05","6079","6176","6008","6008","6541400","6008"
"2018-11-06","6001","6123","5972","6090","5675400","6090"
"2018-11-07","6075","6177","6034","6105","7497700","6105"
"2018-11-08","6280","6298","6207","6259","5730800","6259"
"2018-11-09","6249","6282","6215","6248","5600100","6248"
"2018-11-12","6165","6171","6054","6056","5940600","6056"
"2018-11-13","5754","5928","5735","5893","10609500","5893"
"2018-11-14","5897","5919","5797","5853","5988700","5853"
"2018-11-15","5802","5856","5791","5809","3908600","5809"
"2018-11-16","5818","5880","5681","5690","5531200","5690"
"2018-11-19","5677","5894","5650","5891","5196700","5891"
"2018-11-20","5766","5791","5688","5709","5725600","5709"
"2018-11-21","5545","5732","5518","5686","6670700","5686"
"2018-11-22","5709","5728","5620","5690","3905500","5690"
"2018-11-26","5710","5723","5630","5699","3828100","5699"
"2018-11-27","5794","5835","5742","5802","4766300","5802"
"2018-11-28","5821","5913","5809","5904","5256100","5904"
"2018-11-29","6000","6039","5855","5890","6267000","5890"
"2018-11-30","5896","5945","5842","5937","6375200","5937"
"2018-12-03","6090","6158","6058","6122","6568200","6122"
"2018-12-04","6149","6178","5954","5954","6572800","5954"
"2018-12-05","5835","5994","5824","5935","4640600","5935"
"2018-12-06","5890","5925","5693","5776","6735300","5776"
"2018-12-07","5862","5920","5804","5886","5421400","5886"
"2018-12-10","5725","5766","5684","5694","4525400","5694"
"2018-12-11","5757","5800","5702","5735","5773300","5735"
"2018-12-12","5835","5955","5801","5941","6345700","5941"
"2018-12-13","6000","6007","5898","5954","5437400","5954"
"2018-12-14","5938","5989","5808","5855","6133300","5855"
"2018-12-17","5834","5876","5760","5839","3590000","5839"
"2018-12-18","5705","5744","5577","5582","7266000","5582"
"2018-12-19","5576","5591","5436","5550","6052400","5550"
"2018-12-20","5495","5554","5354","5423","7674400","5423"
"2018-12-21","5324","5339","5089","5294","13068400","5294"
"2018-12-25","5029","5126","4989","5000","7379600","5000"
"2018-12-26","5062","5111","4999","5103","7082600","5103"
"2018-12-27","5400","5403","5278","5384","8276900","5384"
"2018-12-28","5284","5368","5252","5326","5986100","5326"